NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
35.8,1373.3,2.6,95.6,20.4,77.7,853.7,302067,2022-07-15T12:08:04.240Z
35.8,1387.9,1.4,96.5,20.4,77.7,853.7,302127,2022-07-15T12:09:04.246Z
35.8,1409.9,1.4,97,20.4,77.9,853.7,302187,2022-07-15T12:10:04.252Z
35.8,1411.3,1.4,97.8,20.5,77.6,853.7,302247,2022-07-15T12:11:04.263Z
36.3,1463.2,1.2,99.6,20.5,76.8,853.7,302307,2022-07-15T12:12:04.282Z
35.8,1497.8,1.6,101.5,20.5,76.6,853.7,302367,2022-07-15T12:13:04.287Z
35,1552.5,1.8,104.5,20.5,76.6,853.7,302427,2022-07-15T12:14:04.295Z
35.8,1602.3,2.6,107.4,20.6,77.2,853.7,302487,2022-07-15T12:15:04.301Z
36.3,1651.2,1.8,109.6,20.7,76.4,853.7,302547,2022-07-15T12:16:04.308Z
36.3,1704.5,1.6,111,20.7,75.4,853.7,302607,2022-07-15T12:17:04.330Z
36.3,1744.4,2.2,111.9,20.8,75.2,853.7,302667,2022-07-15T12:18:04.336Z
36.3,1770.9,1.6,112.5,20.8,75.7,853.7,302727,2022-07-15T12:19:04.344Z
35.8,1801.2,0.8,111.9,20.8,74.9,853.7,302787,2022-07-15T12:20:04.354Z
35.8,1810,2,114.2,20.8,75,853.7,302847,2022-07-15T12:21:04.372Z
35.8,1833.8,2,115.9,20.8,75.6,853.7,302907,2022-07-15T12:22:04.377Z
35.8,1904.6,1.2,119.7,20.7,76.2,853.7,302967,2022-07-15T12:23:04.384Z
35.8,1961.3,1.2,122.6,20.6,76.3,853.7,303027,2022-07-15T12:24:04.393Z
35.8,2042.7,2,126.2,20.6,76.3,853.7,303087,2022-07-15T12:25:04.413Z
35.8,2097.9,2,128.3,20.6,76.5,853.7,303147,2022-07-15T12:26:04.419Z
34.2,2113.7,1.2,129.3,20.6,76.3,853.7,303207,2022-07-15T12:27:04.425Z
34.2,2089.5,1.4,128.3,20.6,76.2,853.8,303266,2022-07-15T12:28:04.432Z
32.9,2055.4,0.8,125.7,20.5,75.7,853.8,303326,2022-07-15T12:29:04.445Z
