NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
-1.7,2339.2,-4.2,11.2,21.2,55.8,853.3,3666,2022-05-18T21:07:02.010Z
-0.6,2327.2,-4.6,10.8,21.2,55.8,853.2,3726,2022-05-18T21:08:02.026Z
-0.2,2310.7,0.4,10.1,21.2,56.2,853.2,3785,2022-05-18T21:09:02.021Z
-4.8,2296.6,0.8,9.5,21.2,56.2,853.2,3845,2022-05-18T21:10:02.051Z
-4.4,2282.5,1,9.1,21.2,56.9,853.2,3905,2022-05-18T21:11:02.047Z
-4.2,2270.2,0.4,9,21.2,57,853.2,3965,2022-05-18T21:12:02.065Z
-3.4,2260.1,0.6,8.8,21.2,56.5,853.2,4025,2022-05-18T21:13:02.081Z
-2.7,2255.2,0.4,8.6,21.2,56.8,853.2,4085,2022-05-18T21:14:02.094Z
-1.3,2249.3,1,8,21.2,56.8,853.2,4145,2022-05-18T21:15:02.094Z
-1.3,2249.5,0.2,8.2,21.2,56.8,853.2,4205,2022-05-18T21:16:02.110Z
-0.8,2248,0.2,8.8,21.2,56.3,853.2,4265,2022-05-18T21:17:02.115Z
-0.2,2245.9,0,9,21.3,56.4,853.2,4325,2022-05-18T21:18:02.127Z
-5.4,2242.6,-0.2,9.2,21.3,56.2,853.2,4385,2022-05-18T21:19:02.137Z
-5.5,2241.1,0,9.6,21.3,56,853.2,4445,2022-05-18T21:20:02.154Z
0,2239.9,-0.4,9.9,21.3,56.2,853.2,4505,2022-05-18T21:21:02.162Z
-5.4,2241.5,-0.2,10.5,21.3,55.7,853.3,4565,2022-05-18T21:22:02.152Z
-5.5,2240.9,-0.4,10.6,21.3,56.5,853.3,4625,2022-05-18T21:23:02.155Z
-0.2,2243.2,-0.6,11.2,21.3,56,853.3,4685,2022-05-18T21:24:02.163Z
-5.5,2249.3,-0.4,11.7,21.3,56.1,853.3,4745,2022-05-18T21:25:02.174Z
-5.2,2258.8,-0.2,12.4,21.3,56.2,853.3,4805,2022-05-18T21:26:02.183Z
-4.8,2268.5,0,13.1,21.3,56.6,853.4,4865,2022-05-18T21:27:02.188Z
-4.4,2275.8,0,13.5,21.3,56.6,853.4,4925,2022-05-18T21:28:02.203Z
-4.2,2278.9,0,13.7,21.4,56.6,853.4,4985,2022-05-18T21:29:02.217Z
