NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
1971.8,-4883.8,-0.6,-2.7,20.1,80.9,851.4,249,2022-07-12T00:12:36.402Z
1440.1,-5795.5,-0.6,-1.9,20.1,80.7,851.3,309,2022-07-12T00:13:36.400Z
1009.8,-6618.1,-0.4,-3,20.1,80.9,851.3,369,2022-07-12T00:14:36.406Z
659.3,-7356.5,-4.6,-2.9,20.1,81.2,851.3,429,2022-07-12T00:15:36.422Z
372.6,-8011,207.3,-1,20.1,82.1,851.3,489,2022-07-12T00:16:36.427Z
138.9,-8604.7,560.9,-3.2,20.1,81,851.3,549,2022-07-12T00:17:36.435Z
-4.2,-9137.1,800.4,-3.2,20.1,80.5,851.3,608,2022-07-12T00:18:36.446Z
-2.5,-9614.5,909.9,73,20.1,81,851.3,668,2022-07-12T00:19:36.464Z
-3.1,-10042.2,848.5,289.7,20.1,80.1,851.3,728,2022-07-12T00:20:36.469Z
-0.8,-10425.5,791,463.6,20.1,80,851.3,788,2022-07-12T00:21:36.476Z
-0.4,-10768.7,736.5,599.6,20.1,80.6,851.3,848,2022-07-12T00:22:36.485Z
-4.2,-11073.9,685,704,20.1,79.7,851.3,908,2022-07-12T00:23:36.489Z
-3.8,-11362.2,638.1,784.2,20.1,80.1,851.3,968,2022-07-12T00:24:36.512Z
-1.3,-11608.3,593.6,842.4,20.1,80.2,851.4,1028,2022-07-12T00:25:36.517Z
-3.8,-11828.3,553.5,885.3,20.1,80.3,851.4,1088,2022-07-12T00:26:36.523Z
-0.6,-12036.4,515.8,914.7,20.1,80.6,851.4,1148,2022-07-12T00:27:36.536Z
-3.3,-12211.7,479.9,929.9,20.1,81,851.4,1208,2022-07-12T00:28:36.553Z
NaN,2022-07-12T00:29:36.653Z
-12380.1,446.2,932,20.1,81.2,851.4,1268,NaN,2022-07-12T00:29:36.754Z
-1.9,-12531.6,414.4,924.1,20.1,80.8,851.4,1328,2022-07-12T00:30:36.558Z
-2.7,-12655.6,384,908.5,20,81.1,851.4,1388,2022-07-12T00:31:36.574Z
-3.3,-12778.3,356,887.5,20,80.8,851.5,1448,2022-07-12T00:32:36.579Z
-3.3,-12888.7,330.6,862.1,20,81.2,851.5,1508,2022-07-12T00:33:36.601Z
-1.5,-12975.3,304.8,832.1,20,81.5,851.5,1568,2022-07-12T00:34:36.608Z
-3.4,-13064.7,281.6,799.1,20,81.1,851.5,1628,2022-07-12T00:35:36.611Z
-5,-13145.1,248.9,763.3,20,80.5,851.5,1688,2022-07-12T00:36:36.620Z
-0.4,-12166.4,212.3,727,20,80.5,851.5,1748,2022-07-12T00:37:36.628Z
-0.2,-10298.1,183.6,689.5,20,80.7,851.5,1808,2022-07-12T00:38:36.634Z
-0.6,-8729.7,159,652.2,20,80.4,851.5,1868,2022-07-12T00:39:36.642Z
-0.2,-7351.3,140.4,616.4,19.9,80,851.5,1928,2022-07-12T00:40:36.644Z
-3.1,-6089.5,127.3,582.6,19.9,80.5,851.5,1988,2022-07-12T00:41:36.655Z
-1,-4982.7,116.4,549.1,20,80.9,851.5,2048,2022-07-12T00:42:36.661Z
-5.5,-4013.4,107,516.3,20,81.5,851.6,2108,2022-07-12T00:43:36.666Z
-4.2,-3155.9,100.4,484.5,20,81.1,851.6,2168,2022-07-12T00:44:36.672Z
-2.1,-2402.5,95.7,452.7,20,81.8,851.6,2228,2022-07-12T00:45:36.682Z
-1.9,-1776.8,92.3,420.8,20,80.6,851.6,2288,2022-07-12T00:46:36.702Z
