NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
30.7,797.6,8.2,38.5,25.3,49.4,851.2,623771,2022-05-26T20:00:13.025Z
30.7,795.3,7.2,38.5,25.3,48.1,851.1,623831,2022-05-26T20:01:13.021Z
30.7,796.7,7.2,38.5,25.3,49.8,851.1,623891,2022-05-26T20:02:13.023Z
31.3,806.5,8.2,39.4,25.3,50,851.1,623951,2022-05-26T20:03:13.018Z
25.2,819.5,9,41.5,25.3,51.1,851.1,624011,2022-05-26T20:04:13.033Z
30,804.8,16.4,38.6,25.3,50.9,851.1,624071,2022-05-26T20:05:13.036Z
30.7,802.7,11.4,38,25.3,49.9,851.1,624131,2022-05-26T20:06:13.049Z
30,811.1,9.6,38.1,25.3,49.1,851.1,624191,2022-05-26T20:07:13.050Z
29.2,829.1,9.2,36.9,25.3,47.9,851.1,624251,2022-05-26T20:08:13.046Z
28.6,845,9.2,39.6,25.2,49.5,851.1,624311,2022-05-26T20:09:13.058Z
28.6,854.6,9.4,39.9,25.2,48.3,851.1,624371,2022-05-26T20:10:13.060Z
27.9,866.8,9,38.5,25.2,47.7,851,624431,2022-05-26T20:11:13.064Z
22.3,879.8,12.2,42.4,25.2,52,851,624491,2022-05-26T20:12:13.076Z
23.8,888.7,21,42.3,25.2,52.4,851.1,624550,2022-05-26T20:13:13.088Z
25.2,884.4,21,41.9,25.2,51.9,851.1,624610,2022-05-26T20:14:13.093Z
30,883.4,17.8,40,25.2,48.9,851,624670,2022-05-26T20:15:13.102Z
30.7,881.7,12.2,39.6,25.2,49,851,624730,2022-05-26T20:16:13.117Z
25.2,886.8,13.2,41.6,25.1,51.9,851,624790,2022-05-26T20:17:13.129Z
31.3,894,19.2,40.1,25.1,48.7,851,624850,2022-05-26T20:18:13.134Z
32.1,900,12.6,40.1,25.1,49,851,624910,2022-05-26T20:19:13.147Z
