NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
-5.2,-8331.6,91.4,-3.5,23.8,61.9,854.6,596,2022-05-18T00:00:17.971Z
-0.8,-8839.6,89.2,-1.4,23.9,59,854.6,656,2022-05-18T00:01:17.963Z
8.6,-9293.6,73,50.2,23.9,60.4,854.6,716,2022-05-18T00:02:17.980Z
16.3,-9707.9,48.1,159.8,23.9,60.3,854.6,776,2022-05-18T00:03:17.989Z
23.3,-10069.4,27.7,247.6,24,59.4,854.5,836,2022-05-18T00:04:18.006Z
28.3,-10391.8,8.6,316.9,24,60.1,854.5,896,2022-05-18T00:05:18.028Z
32.5,-10689,-3.2,371,24,60.4,854.5,956,2022-05-18T00:06:18.028Z
35.6,-10955.1,-4,412.9,24,61.5,854.6,1016,2022-05-18T00:07:18.044Z
37.9,-11182.3,-2.6,443.1,24.1,60.3,854.6,1076,2022-05-18T00:08:18.056Z
38.1,-11405.6,-0.4,463.6,24.1,60.1,854.6,1136,2022-05-18T00:09:18.058Z
39.6,-11595.2,-1.4,480,24.1,60.4,854.5,1196,2022-05-18T00:10:18.067Z
38.8,-11775.9,1.2,488,24.1,59.2,854.5,1256,2022-05-18T00:11:18.067Z
39.6,-11926.7,-3,490.3,24.1,59.1,854.5,1316,2022-05-18T00:12:18.079Z
39,-12072.9,-3.6,490,24.1,60.7,854.5,1375,2022-05-18T00:13:18.081Z
40.3,-12192.7,-0.6,486.7,24.1,60.2,854.4,1435,2022-05-18T00:14:18.088Z
40.2,-12311,-0.2,482.6,24.1,60.8,854.4,1495,2022-05-18T00:15:18.088Z
38.2,-12405.5,-0.4,470.7,24.1,60.4,854.4,1555,2022-05-18T00:16:18.098Z
34.3,-12499.1,0.2,454.3,24.2,58.4,854.4,1615,2022-05-18T00:17:18.105Z
32,-11222.7,-2.8,434.9,24.2,57.9,854.4,1675,2022-05-18T00:18:18.117Z
30,-9617.8,-3.2,419.1,24.3,58.7,854.4,1735,2022-05-18T00:19:18.127Z
29.4,-8237.1,0.8,401,24.3,58.5,854.4,1795,2022-05-18T00:20:18.143Z
29.1,-7047.5,-1.8,383.1,24.3,58.5,854.3,1855,2022-05-18T00:21:18.142Z
29.3,-6009.2,-4,364.6,24.4,59.9,854.3,1915,2022-05-18T00:22:18.149Z
28.2,-5090,-2.8,346.5,24.4,60.9,854.3,1975,2022-05-18T00:23:18.163Z
26.1,-4280.8,-0.4,328.9,24.5,59.3,854.3,2035,2022-05-18T00:24:18.175Z
23.4,-3576.9,1,309.7,24.6,57.9,854.3,2095,2022-05-18T00:25:18.178Z
20.6,-2963.4,-0.2,291.8,24.7,57,854.3,2155,2022-05-18T00:26:18.196Z
17,-2427.9,-2.2,274.8,24.7,57.4,854.3,2215,2022-05-18T00:27:18.206Z
14.9,-1955.9,-2,258,24.8,56.4,854.3,2275,2022-05-18T00:28:18.209Z
14.8,-1514.1,-1.6,243.7,24.9,56.8,854.3,2335,2022-05-18T00:29:18.217Z
13.5,-1124.8,0.8,229.4,24.9,57.8,854.3,2395,2022-05-18T00:30:18.225Z
12.9,-773.7,-1,215.5,25,56.7,854.3,2455,2022-05-18T00:31:18.226Z
13.5,-427.5,-1.2,203.9,25,56.5,854.3,2515,2022-05-18T00:32:18.239Z
15.5,-108.2,-2.6,193.6,25,56.7,854.2,2575,2022-05-18T00:33:18.247Z
16.8,170.2,1,183.2,25.1,57.9,854.2,2635,2022-05-18T00:34:18.259Z
16.1,391.5,-3,171.9,25.2,57.4,854.2,2695,2022-05-18T00:35:18.267Z
16,560.8,-4.2,159.6,25.3,56.4,854.2,2755,2022-05-18T00:36:18.271Z
15.4,759.2,1,151.5,25.4,57.5,854.2,2815,2022-05-18T00:37:18.288Z
17.9,979.2,-2.6,144.4,25.4,57.4,854.2,2875,2022-05-18T00:38:18.307Z
17.1,1147.9,-1.2,137.3,25.5,57.9,854.3,2935,2022-05-18T00:39:18.311Z
19.2,1284.8,0.8,129.7,25.5,56.7,854.2,2995,2022-05-18T00:40:18.320Z
19.2,1394.5,-1.8,123.1,25.5,58.4,854.2,3055,2022-05-18T00:41:18.322Z
18.4,1482.2,-4.4,113.6,25.6,57,854.3,3114,2022-05-18T00:42:18.325Z
17,1579.4,0.2,106.5,25.6,57.8,854.2,3174,2022-05-18T00:43:18.331Z
16.4,1673,0.8,100.4,25.6,56.2,854.2,3234,2022-05-18T00:44:18.340Z
14.8,1709.7,-0.8,91,25.6,55.7,854.2,3294,2022-05-18T00:45:18.353Z
13.8,1721.3,-2,83.8,25.7,57.2,854.2,3354,2022-05-18T00:46:18.364Z
11.4,1753.4,-3.8,76.4,25.7,56.7,854.1,3414,2022-05-18T00:47:18.366Z
9.1,1774.4,-3.8,70.3,25.7,55.7,854.1,3474,2022-05-18T00:48:18.367Z
7.8,1777.5,-3.6,64.1,25.7,56.3,854.1,3534,2022-05-18T00:49:18.368Z
7.8,1815.1,-2.4,61.3,25.6,56.9,854.1,3594,2022-05-18T00:50:18.372Z
9.7,1849.5,-2,58.3,25.6,56.8,854,3654,2022-05-18T00:51:18.380Z
8.8,1877.7,-4.6,57,25.6,58,854.1,3714,2022-05-18T00:52:18.393Z
6.1,1882.6,-1.2,51.4,25.6,56.6,854.1,3774,2022-05-18T00:53:18.404Z
4,1849.7,-0.6,45.6,25.7,55.8,854.1,3834,2022-05-18T00:54:18.408Z
2.3,1839.3,0.6,41.3,25.7,55.9,854.1,3894,2022-05-18T00:55:18.410Z
2.1,1839.2,-4.4,37.5,25.7,55.7,854,3954,2022-05-18T00:56:18.418Z
1.5,1822.4,0.4,32.9,25.7,56.5,854,4014,2022-05-18T00:57:18.424Z
1.5,1796.6,0.2,28.9,25.6,56.2,854,4074,2022-05-18T00:58:18.433Z
3.1,1782.6,1,26,25.6,56.8,854,4134,2022-05-18T00:59:18.445Z
0,1760.6,-1.6,25,25.6,58,854,4194,2022-05-18T01:00:18.447Z
0.4,1751.6,-3.2,20.7,25.5,56.8,854,4254,2022-05-18T01:01:18.463Z
0,1755,-1.8,19.2,25.5,56.6,853.9,4314,2022-05-18T01:02:18.464Z
1.1,1752.2,0.6,18.3,25.5,56.6,853.9,4374,2022-05-18T01:03:18.470Z
1.5,1754.6,-0.4,17.5,25.5,57.5,853.9,4434,2022-05-18T01:04:18.478Z
1,1741.8,-0.8,16.9,25.5,56.5,853.9,4494,2022-05-18T01:05:18.474Z
0,1707.5,-0.8,14.8,25.4,56.6,853.9,4554,2022-05-18T01:06:18.485Z
2.3,1701.7,1,12.8,25.4,56.6,853.9,4614,2022-05-18T01:07:18.495Z
1.1,1708.4,-3.6,12.3,25.4,57.3,853.8,4674,2022-05-18T01:08:18.504Z
1.3,1698.5,-1.4,10.7,25.4,56.4,853.8,4734,2022-05-18T01:09:18.507Z
1.3,1683.3,0.2,9.2,25.3,57.5,853.8,4794,2022-05-18T01:10:18.509Z
2.9,1660.9,-2.4,9.2,25.3,58,853.8,4853,2022-05-18T01:11:18.522Z
3.1,1656.4,1,8.3,25.2,60.1,853.7,4913,2022-05-18T01:12:18.521Z
3.8,1688.9,1,8.3,25.2,59.1,853.7,4973,2022-05-18T01:13:18.535Z
